,wavelength,pacs160,pacs100,dnu
13188,14.60919952,0,2.00E-08,-7546017286
13189,14.614501,0,2.00E-08,-7546017286
13190,14.6198988,0,2.00E-08,-7546017286
13191,14.62520027,0,2.00E-08,-7546017286
13192,14.63059998,0,2.00E-08,-7546017286
13193,14.63589954,0,2.00E-08,-7546017286
13194,14.64130116,0,2.00E-08,-7546017286
13195,14.64659977,0,2.00E-08,-7546017286
13196,14.65200043,0,2.00E-08,-7546017286
13197,14.65740013,0,2.00E-08,-7546017286
13198,14.66279984,0,2.00E-08,-7546017286
13199,14.66810036,0,2.00E-08,-7546017286
13200,14.67350101,0,2.00E-08,-7546017286
13201,14.67889881,0,2.00E-08,-7546017286
13202,14.68430042,0,2.00E-08,-7546017286
13203,14.68970108,0,2.00E-08,-7546017286
13204,14.69509888,0,1.00E-08,-7546017286
13205,14.70049953,0,1.00E-08,-7546017286
13206,14.70590115,0,1.00E-08,-7546017286
13207,14.71129894,0,1.00E-08,-7546017286
13208,14.7166996,0,1.00E-08,-7546017286
13209,14.72210121,0,1.00E-08,-7546017286
13210,14.72749901,0,1.00E-08,-7546017286
13211,14.7329998,0,1.00E-08,-7546017286
13212,14.73840046,0,1.00E-08,-7546017286
13213,14.74380016,0,1.00E-08,-7546017286
13214,14.74930096,0,1.00E-08,-7546017286
13215,14.75469875,0,1.00E-08,-7546017286
13216,14.76010036,0,1.00E-08,-7546017286
13217,14.7656002,0,1.00E-08,-7546017286
13218,14.77099991,0,1.00E-08,-7546017286
13219,14.77649879,0,1.00E-08,-7546017286
13220,14.78199959,0,1.00E-08,-7546017286
13221,14.78740025,0,1.00E-08,-7546017286
13222,14.79290104,0,1.00E-08,-7546017286
13223,14.79839993,0,1.00E-08,-7546017286
13224,14.80379963,0,1.00E-08,-7546017286
13225,14.80930042,0,1.00E-08,-7546017286
13226,14.81480026,0,1.00E-08,-7546017286
13227,14.82030106,0,1.00E-08,-7546017286
13228,14.82579994,0,1.00E-08,-7546017286
13229,14.83129883,0,1.00E-08,-7546017286
13230,14.83679962,0,1.00E-08,-7546017286
13231,14.84230042,0,1.00E-08,-7546017286
