,wavelength,spire500,spire350,spire250,dnu
265,293.521,-7.78E-10,0.106692,0.194949,-2933316080
266,294.385,-4.88E-10,0.134424,0.112433,-2933316080
267,295.254,-7.29E-11,0.167601,0.0510056,-2933316080
268,296.041,-1.09E-08,0.202966,0.028111,-2933316080
269,296.92,-1.00E-08,0.238091,0.0169598,-2933316080
270,297.804,-3.73E-09,0.263387,0.0105802,-2933316080
271,298.693,4.61E-08,0.280994,0.00686109,-2933316080
272,299.498,3.03E-08,0.295864,0.00560785,-2933316080
273,300.398,5.13E-08,0.310795,0.00472785,-2933316080
274,301.303,-5.13E-08,0.322311,0.0043016,-2933316080
275,302.214,-2.52E-08,0.330435,0.00409594,-2933316080
276,303.13,8.00E-09,0.342791,0.0039339,-2933316080
277,303.959,8.20E-08,0.346432,0.00375426,-2933316080
278,304.886,-4.27E-08,0.345224,0.00357755,-2933316080
279,305.818,6.36E-08,0.344954,0.00330741,-2933316080
280,306.756,-1.33E-08,0.347234,0.00300608,-2933316080
281,307.7,-1.32E-08,0.353471,0.00271864,-2933316080
282,308.555,-3.79E-08,0.350056,0.00237969,-2933316080
283,309.509,2.18E-07,0.364882,0.00213201,-2933316080
284,310.47,1.19E-07,0.378148,0.00190481,-2933316080
285,311.437,7.03E-08,0.386466,0.00169697,-2933316080
286,312.313,6.26E-09,0.390045,0.00149925,-2933316080
287,313.291,-1.51E-09,0.398751,0.00130237,-2933316080
288,314.276,5.16E-08,0.406463,0.00109996,-2933316080
289,315.266,-5.63E-08,0.402533,0.000924298,-2933316080
290,316.263,1.72E-07,0.401164,0.00077253,-2933316080
291,317.166,1.79E-07,0.399053,0.000640208,-2933316080
292,318.175,1.71E-07,0.390924,0.000540162,-2933316080
293,319.191,1.50E-08,0.390995,0.000474471,-2933316080
294,320.213,1.22E-07,0.39751,0.000419938,-2933316080
295,321.138,1.69E-07,0.421063,0.000386951,-2933316080
296,322.173,3.81E-07,0.446651,0.000360292,-2933316080
297,323.214,3.54E-07,0.476358,0.000338597,-2933316080
298,324.262,1.88E-07,0.487067,0.000311056,-2933316080
299,325.317,6.34E-07,0.496916,0.000283988,-2933316080
300,326.272,3.53E-07,0.482537,0.000254587,-2933316080
301,327.34,1.09E-06,0.480049,0.000231337,-2933316080
302,328.415,3.80E-07,0.468552,0.000207825,-2933316080
303,329.498,9.32E-07,0.464502,0.000186284,-2933316080
304,330.587,1.04E-06,0.472923,0.000172861,-2933316080
305,331.573,1.68E-06,0.486909,0.00016047,-2933316080
306,332.676,1.88E-06,0.49462,0.000150212,-2933316080
307,333.787,2.89E-06,0.51219,0.00014255,-2933316080
308,334.905,3.15E-06,0.520955,0.000134797,-2933316080
309,335.917,3.13E-06,0.526153,0.000125726,-2933316080
310,337.049,4.14E-06,0.529359,0.000116393,-2933316080
311,338.189,4.21E-06,0.530802,0.000106349,-2933316080
312,339.337,7.12E-06,0.526467,9.79E-05,-2933316080
313,340.492,8.41E-06,0.528659,9.18E-05,-2933316080
314,341.539,6.04E-06,0.532192,8.62E-05,-2933316080
315,342.709,8.44E-06,0.538963,8.23E-05,-2933316080
316,343.888,1.61E-05,0.557354,7.93E-05,-2933316080
